experiment_iteration,embedding_method,config_version,config_source,configured_at_iteration,effective_from_iteration,surrogate_model,kernel,acquisition_function,bo_signature,candidate,result,config_rationale,kernel_rationale
1,fingerprint_concat,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C, solvent_SMILES=CCCC#N, concentration=0.057, temperature=90}",0,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
2,fingerprint_concat,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CCCCOC(C)=O, concentration=0.153, temperature=120}",0,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
3,fingerprint_concat,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=P(C1CCCCC1)(C2CCCCC2)C3CCCCC3, solvent_SMILES=CCCCOC(C)=O, concentration=0.1, temperature=90}",0,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
4,fingerprint_concat,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3, solvent_SMILES=CC1=CC=C(C)C=C1, concentration=0.1, temperature=120}",4.48,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
5,fingerprint_concat,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC1=CC=C(C)C=C1, concentration=0.153, temperature=90}",28.36,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
6,fingerprint_concat,2,af_review,5,6,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC1=CC=C(C)C=C1, concentration=0.153, temperature=105}",39.32,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
7,fingerprint_concat,2,af_review,6,7,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC1=CC=C(C)C=C1, concentration=0.153, temperature=120}",61.67,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
8,fingerprint_concat,2,af_review,7,8,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",5.47,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
9,fingerprint_concat,2,af_review,8,9,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CCCC#N, concentration=0.1, temperature=120}",56.57,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
10,fingerprint_concat,2,af_review,9,10,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",0,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
