experiment_iteration,embedding_method,config_version,config_source,configured_at_iteration,effective_from_iteration,surrogate_model,kernel,acquisition_function,bo_signature,candidate,result,config_rationale,kernel_rationale
1,one_hot,1,initial,0,1,gp,mixed_sum_product,ucb,gp/mixed_sum_product/ucb,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=120}",0,UCB with elevated beta=2.0 prioritizes exploration early in the 40-iteration budget. This aligns with working memory focus to test H2 (carboxylate vs carbonate) and H3 (solvent-temperature) first—both require diverse space coverage rather than immediate exploitation. Higher beta encourages testing chemically distinct ligand families and base types to resolve interaction hypotheses. Will reduce beta in later iterations once promising regions are identified.,"DAR yield optimization involves 5 categorical variables with known interaction effects (ligand-base synergy [HYPOTHESIS:H4], solvent-temperature conditional [HYPOTHESIS:H3]). The mixed sum-product kernel balances additive main effects (ligand electronics, base type) with multiplicative interaction terms, appropriate for encoded categorical spaces where both structure types contribute. This avoids over-committing to pure additive or pure interaction assumptions given the mechanistic uncertainty in early iterations."
2,one_hot,1,initial,0,1,gp,mixed_sum_product,ucb,gp/mixed_sum_product/ucb,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=105}",6.54,UCB with elevated beta=2.0 prioritizes exploration early in the 40-iteration budget. This aligns with working memory focus to test H2 (carboxylate vs carbonate) and H3 (solvent-temperature) first—both require diverse space coverage rather than immediate exploitation. Higher beta encourages testing chemically distinct ligand families and base types to resolve interaction hypotheses. Will reduce beta in later iterations once promising regions are identified.,"DAR yield optimization involves 5 categorical variables with known interaction effects (ligand-base synergy [HYPOTHESIS:H4], solvent-temperature conditional [HYPOTHESIS:H3]). The mixed sum-product kernel balances additive main effects (ligand electronics, base type) with multiplicative interaction terms, appropriate for encoded categorical spaces where both structure types contribute. This avoids over-committing to pure additive or pure interaction assumptions given the mechanistic uncertainty in early iterations."
3,one_hot,1,initial,0,1,gp,mixed_sum_product,ucb,gp/mixed_sum_product/ucb,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=P(C1CCCCC1)(C2CCCCC2)C3CCCCC3, solvent_SMILES=CCCCOC(C)=O, concentration=0.153, temperature=90}",0,UCB with elevated beta=2.0 prioritizes exploration early in the 40-iteration budget. This aligns with working memory focus to test H2 (carboxylate vs carbonate) and H3 (solvent-temperature) first—both require diverse space coverage rather than immediate exploitation. Higher beta encourages testing chemically distinct ligand families and base types to resolve interaction hypotheses. Will reduce beta in later iterations once promising regions are identified.,"DAR yield optimization involves 5 categorical variables with known interaction effects (ligand-base synergy [HYPOTHESIS:H4], solvent-temperature conditional [HYPOTHESIS:H3]). The mixed sum-product kernel balances additive main effects (ligand electronics, base type) with multiplicative interaction terms, appropriate for encoded categorical spaces where both structure types contribute. This avoids over-committing to pure additive or pure interaction assumptions given the mechanistic uncertainty in early iterations."
4,one_hot,1,initial,0,1,gp,mixed_sum_product,ucb,gp/mixed_sum_product/ucb,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.057, temperature=120}",45.85,UCB with elevated beta=2.0 prioritizes exploration early in the 40-iteration budget. This aligns with working memory focus to test H2 (carboxylate vs carbonate) and H3 (solvent-temperature) first—both require diverse space coverage rather than immediate exploitation. Higher beta encourages testing chemically distinct ligand families and base types to resolve interaction hypotheses. Will reduce beta in later iterations once promising regions are identified.,"DAR yield optimization involves 5 categorical variables with known interaction effects (ligand-base synergy [HYPOTHESIS:H4], solvent-temperature conditional [HYPOTHESIS:H3]). The mixed sum-product kernel balances additive main effects (ligand electronics, base type) with multiplicative interaction terms, appropriate for encoded categorical spaces where both structure types contribute. This avoids over-committing to pure additive or pure interaction assumptions given the mechanistic uncertainty in early iterations."
5,one_hot,1,initial,0,1,gp,mixed_sum_product,ucb,gp/mixed_sum_product/ucb,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CP(C)C1=CC=CC=C1, solvent_SMILES=CCCCOC(C)=O, concentration=0.153, temperature=90}",0,UCB with elevated beta=2.0 prioritizes exploration early in the 40-iteration budget. This aligns with working memory focus to test H2 (carboxylate vs carbonate) and H3 (solvent-temperature) first—both require diverse space coverage rather than immediate exploitation. Higher beta encourages testing chemically distinct ligand families and base types to resolve interaction hypotheses. Will reduce beta in later iterations once promising regions are identified.,"DAR yield optimization involves 5 categorical variables with known interaction effects (ligand-base synergy [HYPOTHESIS:H4], solvent-temperature conditional [HYPOTHESIS:H3]). The mixed sum-product kernel balances additive main effects (ligand electronics, base type) with multiplicative interaction terms, appropriate for encoded categorical spaces where both structure types contribute. This avoids over-committing to pure additive or pure interaction assumptions given the mechanistic uncertainty in early iterations."
6,one_hot,1,initial,0,1,gp,mixed_sum_product,ucb,gp/mixed_sum_product/ucb,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3, solvent_SMILES=CCCC#N, concentration=0.057, temperature=120}",12.19,UCB with elevated beta=2.0 prioritizes exploration early in the 40-iteration budget. This aligns with working memory focus to test H2 (carboxylate vs carbonate) and H3 (solvent-temperature) first—both require diverse space coverage rather than immediate exploitation. Higher beta encourages testing chemically distinct ligand families and base types to resolve interaction hypotheses. Will reduce beta in later iterations once promising regions are identified.,"DAR yield optimization involves 5 categorical variables with known interaction effects (ligand-base synergy [HYPOTHESIS:H4], solvent-temperature conditional [HYPOTHESIS:H3]). The mixed sum-product kernel balances additive main effects (ligand electronics, base type) with multiplicative interaction terms, appropriate for encoded categorical spaces where both structure types contribute. This avoids over-committing to pure additive or pure interaction assumptions given the mechanistic uncertainty in early iterations."
7,one_hot,1,initial,0,1,gp,mixed_sum_product,ucb,gp/mixed_sum_product/ucb,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CP(C1=CC=CC=C1)C2=CC=CC=C2, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=90}",3.02,UCB with elevated beta=2.0 prioritizes exploration early in the 40-iteration budget. This aligns with working memory focus to test H2 (carboxylate vs carbonate) and H3 (solvent-temperature) first—both require diverse space coverage rather than immediate exploitation. Higher beta encourages testing chemically distinct ligand families and base types to resolve interaction hypotheses. Will reduce beta in later iterations once promising regions are identified.,"DAR yield optimization involves 5 categorical variables with known interaction effects (ligand-base synergy [HYPOTHESIS:H4], solvent-temperature conditional [HYPOTHESIS:H3]). The mixed sum-product kernel balances additive main effects (ligand electronics, base type) with multiplicative interaction terms, appropriate for encoded categorical spaces where both structure types contribute. This avoids over-committing to pure additive or pure interaction assumptions given the mechanistic uncertainty in early iterations."
8,one_hot,1,initial,0,1,gp,mixed_sum_product,ucb,gp/mixed_sum_product/ucb,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.057, temperature=90}",0,UCB with elevated beta=2.0 prioritizes exploration early in the 40-iteration budget. This aligns with working memory focus to test H2 (carboxylate vs carbonate) and H3 (solvent-temperature) first—both require diverse space coverage rather than immediate exploitation. Higher beta encourages testing chemically distinct ligand families and base types to resolve interaction hypotheses. Will reduce beta in later iterations once promising regions are identified.,"DAR yield optimization involves 5 categorical variables with known interaction effects (ligand-base synergy [HYPOTHESIS:H4], solvent-temperature conditional [HYPOTHESIS:H3]). The mixed sum-product kernel balances additive main effects (ligand electronics, base type) with multiplicative interaction terms, appropriate for encoded categorical spaces where both structure types contribute. This avoids over-committing to pure additive or pure interaction assumptions given the mechanistic uncertainty in early iterations."
9,one_hot,1,initial,0,1,gp,mixed_sum_product,ucb,gp/mixed_sum_product/ucb,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.057, temperature=105}",27.82,UCB with elevated beta=2.0 prioritizes exploration early in the 40-iteration budget. This aligns with working memory focus to test H2 (carboxylate vs carbonate) and H3 (solvent-temperature) first—both require diverse space coverage rather than immediate exploitation. Higher beta encourages testing chemically distinct ligand families and base types to resolve interaction hypotheses. Will reduce beta in later iterations once promising regions are identified.,"DAR yield optimization involves 5 categorical variables with known interaction effects (ligand-base synergy [HYPOTHESIS:H4], solvent-temperature conditional [HYPOTHESIS:H3]). The mixed sum-product kernel balances additive main effects (ligand electronics, base type) with multiplicative interaction terms, appropriate for encoded categorical spaces where both structure types contribute. This avoids over-committing to pure additive or pure interaction assumptions given the mechanistic uncertainty in early iterations."
10,one_hot,2,reconfigure,9,10,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=105}",30.44,"UCB with reduced beta=0.2 prioritizes aggressive exploitation of the validated 45.85% benchmark region while retaining minimal exploration for the two remaining priority controlled perturbations (concentration 0.153M, counterion Cs+). This is further reduced from beta=0.3 because: (a) the temperature perturbation (105°C) succeeded and validated benchmark robustness, (b) 31 remaining iterations still permit thorough local optimization, (c) concentration effects from Rule R2 suggest potentially severe penalties that warrant cautious exploration. Beta=0.2 balances urgent exploitation with necessary exploration for parameter sensitivity testing. LogEI would lack explicit control over exploration-exploitation tradeoff needed for systematic benchmark perturbations.","Matérn-5/2 is the robust low-data default that avoids the systematic instability of mixed_sum_product, which has failed 7 times despite occasional success. With n=9 observations in 26-dimensional one-hot space, the interaction-explicit mixed_sum_product remains overparameterized. Matérn-5/2 provides reliable uncertainty estimates for acquisition without requiring explicit interaction term estimation. The simpler smoothness prior will implicitly capture the dominant PPh3 effect and temperature sensitivity through data density. Backtesting confirmed matern52 achieves RMSE ~0.0017-0.0025 when mixed_sum_product fails. The current focus on local single-variable perturbations (concentration, counterion) does not require modeling complex ligand×base×solvent interactions explicitly."
