experiment_iteration,embedding_method,config_version,config_source,configured_at_iteration,effective_from_iteration,surrogate_model,kernel,acquisition_function,bo_signature,candidate,result,config_rationale,kernel_rationale
1,one_hot,1,initial,0,1,gp,mixed_sum_product,log_ei,gp/mixed_sum_product/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=105}",6.54,"LogEI provides numerically stable, improvement-based selection optimal for early-phase exploration with budget=40. The campaign starts with zero observations and needs efficient global search to test H1-H5 across the 26-category space. LogEI's stability in low-data regimes outperforms classic EI. UCB was considered for explicit exploration control given the high-confidence hypotheses, but LogEI's automatic exploration-exploitation balance is preferred for initial iterations. Can switch to UCB with elevated beta if early results show insufficient coverage of ligand/base diversity.","Selected mixed_sum_product kernel to capture both main effects and interactions in this 5-variable categorical space. H4 explicitly hypothesizes ligand-base synergistic interactions, and the KB notes solvent-temperature conditional effects. The one-hot embedding (dim=26) creates a structured mixed space where additive and multiplicative effects likely coexist. This kernel provides a balanced prior that can adapt as data reveals interaction structure, unlike pure additive or product kernels which commit prematurely. Matern52 fallback available if fit instability occurs."
2,one_hot,1,initial,0,1,gp,mixed_sum_product,log_ei,gp/mixed_sum_product/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=120}",0,"LogEI provides numerically stable, improvement-based selection optimal for early-phase exploration with budget=40. The campaign starts with zero observations and needs efficient global search to test H1-H5 across the 26-category space. LogEI's stability in low-data regimes outperforms classic EI. UCB was considered for explicit exploration control given the high-confidence hypotheses, but LogEI's automatic exploration-exploitation balance is preferred for initial iterations. Can switch to UCB with elevated beta if early results show insufficient coverage of ligand/base diversity.","Selected mixed_sum_product kernel to capture both main effects and interactions in this 5-variable categorical space. H4 explicitly hypothesizes ligand-base synergistic interactions, and the KB notes solvent-temperature conditional effects. The one-hot embedding (dim=26) creates a structured mixed space where additive and multiplicative effects likely coexist. This kernel provides a balanced prior that can adapt as data reveals interaction structure, unlike pure additive or product kernels which commit prematurely. Matern52 fallback available if fit instability occurs."
3,one_hot,1,initial,0,1,gp,mixed_sum_product,log_ei,gp/mixed_sum_product/log_ei,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=P(C1CCCCC1)(C2CCCCC2)C3CCCCC3, solvent_SMILES=CCCCOC(C)=O, concentration=0.153, temperature=90}",0,"LogEI provides numerically stable, improvement-based selection optimal for early-phase exploration with budget=40. The campaign starts with zero observations and needs efficient global search to test H1-H5 across the 26-category space. LogEI's stability in low-data regimes outperforms classic EI. UCB was considered for explicit exploration control given the high-confidence hypotheses, but LogEI's automatic exploration-exploitation balance is preferred for initial iterations. Can switch to UCB with elevated beta if early results show insufficient coverage of ligand/base diversity.","Selected mixed_sum_product kernel to capture both main effects and interactions in this 5-variable categorical space. H4 explicitly hypothesizes ligand-base synergistic interactions, and the KB notes solvent-temperature conditional effects. The one-hot embedding (dim=26) creates a structured mixed space where additive and multiplicative effects likely coexist. This kernel provides a balanced prior that can adapt as data reveals interaction structure, unlike pure additive or product kernels which commit prematurely. Matern52 fallback available if fit instability occurs."
4,one_hot,1,initial,0,1,gp,mixed_sum_product,log_ei,gp/mixed_sum_product/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.057, temperature=120}",45.85,"LogEI provides numerically stable, improvement-based selection optimal for early-phase exploration with budget=40. The campaign starts with zero observations and needs efficient global search to test H1-H5 across the 26-category space. LogEI's stability in low-data regimes outperforms classic EI. UCB was considered for explicit exploration control given the high-confidence hypotheses, but LogEI's automatic exploration-exploitation balance is preferred for initial iterations. Can switch to UCB with elevated beta if early results show insufficient coverage of ligand/base diversity.","Selected mixed_sum_product kernel to capture both main effects and interactions in this 5-variable categorical space. H4 explicitly hypothesizes ligand-base synergistic interactions, and the KB notes solvent-temperature conditional effects. The one-hot embedding (dim=26) creates a structured mixed space where additive and multiplicative effects likely coexist. This kernel provides a balanced prior that can adapt as data reveals interaction structure, unlike pure additive or product kernels which commit prematurely. Matern52 fallback available if fit instability occurs."
5,one_hot,1,initial,0,1,gp,mixed_sum_product,log_ei,gp/mixed_sum_product/log_ei,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CP(C)C1=CC=CC=C1, solvent_SMILES=CCCCOC(C)=O, concentration=0.153, temperature=90}",0,"LogEI provides numerically stable, improvement-based selection optimal for early-phase exploration with budget=40. The campaign starts with zero observations and needs efficient global search to test H1-H5 across the 26-category space. LogEI's stability in low-data regimes outperforms classic EI. UCB was considered for explicit exploration control given the high-confidence hypotheses, but LogEI's automatic exploration-exploitation balance is preferred for initial iterations. Can switch to UCB with elevated beta if early results show insufficient coverage of ligand/base diversity.","Selected mixed_sum_product kernel to capture both main effects and interactions in this 5-variable categorical space. H4 explicitly hypothesizes ligand-base synergistic interactions, and the KB notes solvent-temperature conditional effects. The one-hot embedding (dim=26) creates a structured mixed space where additive and multiplicative effects likely coexist. This kernel provides a balanced prior that can adapt as data reveals interaction structure, unlike pure additive or product kernels which commit prematurely. Matern52 fallback available if fit instability occurs."
6,one_hot,2,af_review,5,6,gp,mixed_sum_product,ucb,gp/mixed_sum_product/ucb,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3, solvent_SMILES=CCCC#N, concentration=0.057, temperature=120}",12.19,"LogEI provides numerically stable, improvement-based selection optimal for early-phase exploration with budget=40. The campaign starts with zero observations and needs efficient global search to test H1-H5 across the 26-category space. LogEI's stability in low-data regimes outperforms classic EI. UCB was considered for explicit exploration control given the high-confidence hypotheses, but LogEI's automatic exploration-exploitation balance is preferred for initial iterations. Can switch to UCB with elevated beta if early results show insufficient coverage of ligand/base diversity.","Selected mixed_sum_product kernel to capture both main effects and interactions in this 5-variable categorical space. H4 explicitly hypothesizes ligand-base synergistic interactions, and the KB notes solvent-temperature conditional effects. The one-hot embedding (dim=26) creates a structured mixed space where additive and multiplicative effects likely coexist. This kernel provides a balanced prior that can adapt as data reveals interaction structure, unlike pure additive or product kernels which commit prematurely. Matern52 fallback available if fit instability occurs."
7,one_hot,3,af_review,6,7,gp,mixed_sum_product,log_ei,gp/mixed_sum_product/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3, solvent_SMILES=CCCC#N, concentration=0.057, temperature=120}",11.5,"LogEI provides numerically stable, improvement-based selection optimal for early-phase exploration with budget=40. The campaign starts with zero observations and needs efficient global search to test H1-H5 across the 26-category space. LogEI's stability in low-data regimes outperforms classic EI. UCB was considered for explicit exploration control given the high-confidence hypotheses, but LogEI's automatic exploration-exploitation balance is preferred for initial iterations. Can switch to UCB with elevated beta if early results show insufficient coverage of ligand/base diversity.","Selected mixed_sum_product kernel to capture both main effects and interactions in this 5-variable categorical space. H4 explicitly hypothesizes ligand-base synergistic interactions, and the KB notes solvent-temperature conditional effects. The one-hot embedding (dim=26) creates a structured mixed space where additive and multiplicative effects likely coexist. This kernel provides a balanced prior that can adapt as data reveals interaction structure, unlike pure additive or product kernels which commit prematurely. Matern52 fallback available if fit instability occurs."
8,one_hot,4,af_review,7,8,gp,mixed_sum_product,log_ei,gp/mixed_sum_product/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.057, temperature=120}",91.27,"LogEI provides numerically stable, improvement-based selection optimal for early-phase exploration with budget=40. The campaign starts with zero observations and needs efficient global search to test H1-H5 across the 26-category space. LogEI's stability in low-data regimes outperforms classic EI. UCB was considered for explicit exploration control given the high-confidence hypotheses, but LogEI's automatic exploration-exploitation balance is preferred for initial iterations. Can switch to UCB with elevated beta if early results show insufficient coverage of ligand/base diversity.","Selected mixed_sum_product kernel to capture both main effects and interactions in this 5-variable categorical space. H4 explicitly hypothesizes ligand-base synergistic interactions, and the KB notes solvent-temperature conditional effects. The one-hot embedding (dim=26) creates a structured mixed space where additive and multiplicative effects likely coexist. This kernel provides a balanced prior that can adapt as data reveals interaction structure, unlike pure additive or product kernels which commit prematurely. Matern52 fallback available if fit instability occurs."
9,one_hot,5,af_review,8,9,gp,mixed_sum_product,log_ei,gp/mixed_sum_product/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.057, temperature=105}",27.82,"LogEI provides numerically stable, improvement-based selection optimal for early-phase exploration with budget=40. The campaign starts with zero observations and needs efficient global search to test H1-H5 across the 26-category space. LogEI's stability in low-data regimes outperforms classic EI. UCB was considered for explicit exploration control given the high-confidence hypotheses, but LogEI's automatic exploration-exploitation balance is preferred for initial iterations. Can switch to UCB with elevated beta if early results show insufficient coverage of ligand/base diversity.","Selected mixed_sum_product kernel to capture both main effects and interactions in this 5-variable categorical space. H4 explicitly hypothesizes ligand-base synergistic interactions, and the KB notes solvent-temperature conditional effects. The one-hot embedding (dim=26) creates a structured mixed space where additive and multiplicative effects likely coexist. This kernel provides a balanced prior that can adapt as data reveals interaction structure, unlike pure additive or product kernels which commit prematurely. Matern52 fallback available if fit instability occurs."
10,one_hot,6,af_review,9,10,gp,mixed_sum_product,log_ei,gp/mixed_sum_product/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.057, temperature=105}",63.61,"LogEI provides numerically stable, improvement-based selection optimal for early-phase exploration with budget=40. The campaign starts with zero observations and needs efficient global search to test H1-H5 across the 26-category space. LogEI's stability in low-data regimes outperforms classic EI. UCB was considered for explicit exploration control given the high-confidence hypotheses, but LogEI's automatic exploration-exploitation balance is preferred for initial iterations. Can switch to UCB with elevated beta if early results show insufficient coverage of ligand/base diversity.","Selected mixed_sum_product kernel to capture both main effects and interactions in this 5-variable categorical space. H4 explicitly hypothesizes ligand-base synergistic interactions, and the KB notes solvent-temperature conditional effects. The one-hot embedding (dim=26) creates a structured mixed space where additive and multiplicative effects likely coexist. This kernel provides a balanced prior that can adapt as data reveals interaction structure, unlike pure additive or product kernels which commit prematurely. Matern52 fallback available if fit instability occurs."
