experiment_iteration,embedding_method,config_version,config_source,configured_at_iteration,effective_from_iteration,surrogate_model,kernel,acquisition_function,bo_signature,candidate,result,config_rationale,kernel_rationale
1,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=105}",6.54,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
2,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=120}",0,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
3,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=P(C1CCCCC1)(C2CCCCC2)C3CCCCC3, solvent_SMILES=CCCCOC(C)=O, concentration=0.153, temperature=90}",0,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
4,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3, solvent_SMILES=CC(N(C)C)=O, concentration=0.057, temperature=120}",45.85,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
5,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CP(C)C1=CC=CC=C1, solvent_SMILES=CCCCOC(C)=O, concentration=0.153, temperature=90}",0,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
6,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3, solvent_SMILES=CCCC#N, concentration=0.057, temperature=120}",12.19,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
7,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CP(C1=CC=CC=C1)C2=CC=CC=C2, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=90}",3.02,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
8,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=105}",48.86,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
9,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=P(C1CCCCC1)(C2CCCCC2)C3CCCCC3, solvent_SMILES=CC(N(C)C)=O, concentration=0.153, temperature=120}",11.91,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
10,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CCCCOC(C)=O, concentration=0.153, temperature=105}",53.49,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
11,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC1=CC=C(C)C=C1, concentration=0.153, temperature=105}",39.32,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
12,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=C[C@]1(O2)O[C@](C[C@]2(C)P3C4=CC=CC=C4)(C)O[C@]3(C)C1, solvent_SMILES=CCCC#N, concentration=0.057, temperature=105}",36.66,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
13,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.057, temperature=105}",0,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
14,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CCCCOC(C)=O, concentration=0.153, temperature=120}",76.24,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
15,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CCCCOC(C)=O, concentration=0.1, temperature=120}",73.71,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
16,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CCCCOC(C)=O, concentration=0.057, temperature=120}",61.86,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
17,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.057, temperature=90}",0,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
18,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CCCC#N, concentration=0.153, temperature=120}",7.65,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
19,one_hot,1,initial,0,1,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=FC(F)(F)C1=CC(P(C2=C(C3=C(C(C)C)C=C(C(C)C)C=C3C(C)C)C(OC)=CC=C2OC)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)=CC(C(F)(F)F)=C1, solvent_SMILES=CCCC#N, concentration=0.1, temperature=90}",19.97,Stable default BoTorch BO stack for Phase 1.,General-purpose default.
