experiment_iteration,embedding_method,config_version,config_source,configured_at_iteration,effective_from_iteration,surrogate_model,kernel,acquisition_function,bo_signature,candidate,result,config_rationale,kernel_rationale
1,physicochemical_descriptors,1,initial,0,1,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",5.47,"Upper Confidence Bound (UCB) with β=2.0 is selected to prioritize exploration in this early campaign phase (0/40 observations). The DAR reaction space has 26 total categories across 5 categorical variables, creating a combinatorial search space where aggressive early exploration is essential to avoid local optima. UCB provides explicit control over the exploration-exploitation trade-off through the beta parameter. Starting with β=2.0 (approximately 95% confidence interval) ensures we explore diverse regions of the chemical space to test hypotheses H1 (FMO matching) and H5 (Lewis acid catalysis) effectively. As the campaign progresses and we accumulate data (~20 observations), beta can be reduced to shift toward exploitation. LogEI would be too greedy at this stage with no prior observations. [KB:af_selector, HYPOTHESIS:H1, HYPOTHESIS:H5]","Matérn-5/2 is the safe default kernel for Bayesian optimization with moderate smoothness assumptions. For this DAR yield optimization with 51-dimensional physicochemical embeddings, it provides a good balance between flexibility and stability in low-data regimes. The DAR reaction surface is expected to be moderately smooth (yield varies continuously with electronic and steric descriptors), making Matern-5/2 more appropriate than the rougher Matern-3/2 or the overly smooth RBF. The spectral mixture kernel (SMKBO) would require more data to fit reliably, and the mixed-space kernels are unnecessary since all variables are categorical and encoded via physicochemical descriptors. [KB:surrogate_model_selector, RULE:R2]"
2,physicochemical_descriptors,1,initial,0,1,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C(C)(C)C.[K+], ligand_SMILES=CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C, solvent_SMILES=CCCC#N, concentration=0.057, temperature=90}",0,"Upper Confidence Bound (UCB) with β=2.0 is selected to prioritize exploration in this early campaign phase (0/40 observations). The DAR reaction space has 26 total categories across 5 categorical variables, creating a combinatorial search space where aggressive early exploration is essential to avoid local optima. UCB provides explicit control over the exploration-exploitation trade-off through the beta parameter. Starting with β=2.0 (approximately 95% confidence interval) ensures we explore diverse regions of the chemical space to test hypotheses H1 (FMO matching) and H5 (Lewis acid catalysis) effectively. As the campaign progresses and we accumulate data (~20 observations), beta can be reduced to shift toward exploitation. LogEI would be too greedy at this stage with no prior observations. [KB:af_selector, HYPOTHESIS:H1, HYPOTHESIS:H5]","Matérn-5/2 is the safe default kernel for Bayesian optimization with moderate smoothness assumptions. For this DAR yield optimization with 51-dimensional physicochemical embeddings, it provides a good balance between flexibility and stability in low-data regimes. The DAR reaction surface is expected to be moderately smooth (yield varies continuously with electronic and steric descriptors), making Matern-5/2 more appropriate than the rougher Matern-3/2 or the overly smooth RBF. The spectral mixture kernel (SMKBO) would require more data to fit reliably, and the mixed-space kernels are unnecessary since all variables are categorical and encoded via physicochemical descriptors. [KB:surrogate_model_selector, RULE:R2]"
3,physicochemical_descriptors,1,initial,0,1,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3, solvent_SMILES=CCCCOC(C)=O, concentration=0.153, temperature=120}",0,"Upper Confidence Bound (UCB) with β=2.0 is selected to prioritize exploration in this early campaign phase (0/40 observations). The DAR reaction space has 26 total categories across 5 categorical variables, creating a combinatorial search space where aggressive early exploration is essential to avoid local optima. UCB provides explicit control over the exploration-exploitation trade-off through the beta parameter. Starting with β=2.0 (approximately 95% confidence interval) ensures we explore diverse regions of the chemical space to test hypotheses H1 (FMO matching) and H5 (Lewis acid catalysis) effectively. As the campaign progresses and we accumulate data (~20 observations), beta can be reduced to shift toward exploitation. LogEI would be too greedy at this stage with no prior observations. [KB:af_selector, HYPOTHESIS:H1, HYPOTHESIS:H5]","Matérn-5/2 is the safe default kernel for Bayesian optimization with moderate smoothness assumptions. For this DAR yield optimization with 51-dimensional physicochemical embeddings, it provides a good balance between flexibility and stability in low-data regimes. The DAR reaction surface is expected to be moderately smooth (yield varies continuously with electronic and steric descriptors), making Matern-5/2 more appropriate than the rougher Matern-3/2 or the overly smooth RBF. The spectral mixture kernel (SMKBO) would require more data to fit reliably, and the mixed-space kernels are unnecessary since all variables are categorical and encoded via physicochemical descriptors. [KB:surrogate_model_selector, RULE:R2]"
4,physicochemical_descriptors,1,initial,0,1,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=P(C1CCCCC1)(C2CCCCC2)C3CCCCC3, solvent_SMILES=CC1=CC=C(C)C=C1, concentration=0.1, temperature=90}",0,"Upper Confidence Bound (UCB) with β=2.0 is selected to prioritize exploration in this early campaign phase (0/40 observations). The DAR reaction space has 26 total categories across 5 categorical variables, creating a combinatorial search space where aggressive early exploration is essential to avoid local optima. UCB provides explicit control over the exploration-exploitation trade-off through the beta parameter. Starting with β=2.0 (approximately 95% confidence interval) ensures we explore diverse regions of the chemical space to test hypotheses H1 (FMO matching) and H5 (Lewis acid catalysis) effectively. As the campaign progresses and we accumulate data (~20 observations), beta can be reduced to shift toward exploitation. LogEI would be too greedy at this stage with no prior observations. [KB:af_selector, HYPOTHESIS:H1, HYPOTHESIS:H5]","Matérn-5/2 is the safe default kernel for Bayesian optimization with moderate smoothness assumptions. For this DAR yield optimization with 51-dimensional physicochemical embeddings, it provides a good balance between flexibility and stability in low-data regimes. The DAR reaction surface is expected to be moderately smooth (yield varies continuously with electronic and steric descriptors), making Matern-5/2 more appropriate than the rougher Matern-3/2 or the overly smooth RBF. The spectral mixture kernel (SMKBO) would require more data to fit reliably, and the mixed-space kernels are unnecessary since all variables are categorical and encoded via physicochemical descriptors. [KB:surrogate_model_selector, RULE:R2]"
5,physicochemical_descriptors,1,initial,0,1,gp,matern52,ucb,gp/matern52/ucb,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.057, temperature=120}",38.48,"Upper Confidence Bound (UCB) with β=2.0 is selected to prioritize exploration in this early campaign phase (0/40 observations). The DAR reaction space has 26 total categories across 5 categorical variables, creating a combinatorial search space where aggressive early exploration is essential to avoid local optima. UCB provides explicit control over the exploration-exploitation trade-off through the beta parameter. Starting with β=2.0 (approximately 95% confidence interval) ensures we explore diverse regions of the chemical space to test hypotheses H1 (FMO matching) and H5 (Lewis acid catalysis) effectively. As the campaign progresses and we accumulate data (~20 observations), beta can be reduced to shift toward exploitation. LogEI would be too greedy at this stage with no prior observations. [KB:af_selector, HYPOTHESIS:H1, HYPOTHESIS:H5]","Matérn-5/2 is the safe default kernel for Bayesian optimization with moderate smoothness assumptions. For this DAR yield optimization with 51-dimensional physicochemical embeddings, it provides a good balance between flexibility and stability in low-data regimes. The DAR reaction surface is expected to be moderately smooth (yield varies continuously with electronic and steric descriptors), making Matern-5/2 more appropriate than the rougher Matern-3/2 or the overly smooth RBF. The spectral mixture kernel (SMKBO) would require more data to fit reliably, and the mixed-space kernels are unnecessary since all variables are categorical and encoded via physicochemical descriptors. [KB:surrogate_model_selector, RULE:R2]"
6,physicochemical_descriptors,2,af_review,5,6,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CC(OC1=C(P(C2CCCCC2)C3CCCCC3)C(OC(C)C)=CC=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.057, temperature=120}",27.88,"Upper Confidence Bound (UCB) with β=2.0 is selected to prioritize exploration in this early campaign phase (0/40 observations). The DAR reaction space has 26 total categories across 5 categorical variables, creating a combinatorial search space where aggressive early exploration is essential to avoid local optima. UCB provides explicit control over the exploration-exploitation trade-off through the beta parameter. Starting with β=2.0 (approximately 95% confidence interval) ensures we explore diverse regions of the chemical space to test hypotheses H1 (FMO matching) and H5 (Lewis acid catalysis) effectively. As the campaign progresses and we accumulate data (~20 observations), beta can be reduced to shift toward exploitation. LogEI would be too greedy at this stage with no prior observations. [KB:af_selector, HYPOTHESIS:H1, HYPOTHESIS:H5]","Matérn-5/2 is the safe default kernel for Bayesian optimization with moderate smoothness assumptions. For this DAR yield optimization with 51-dimensional physicochemical embeddings, it provides a good balance between flexibility and stability in low-data regimes. The DAR reaction surface is expected to be moderately smooth (yield varies continuously with electronic and steric descriptors), making Matern-5/2 more appropriate than the rougher Matern-3/2 or the overly smooth RBF. The spectral mixture kernel (SMKBO) would require more data to fit reliably, and the mixed-space kernels are unnecessary since all variables are categorical and encoded via physicochemical descriptors. [KB:surrogate_model_selector, RULE:R2]"
7,physicochemical_descriptors,2,af_review,6,7,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",65.37,"Upper Confidence Bound (UCB) with β=2.0 is selected to prioritize exploration in this early campaign phase (0/40 observations). The DAR reaction space has 26 total categories across 5 categorical variables, creating a combinatorial search space where aggressive early exploration is essential to avoid local optima. UCB provides explicit control over the exploration-exploitation trade-off through the beta parameter. Starting with β=2.0 (approximately 95% confidence interval) ensures we explore diverse regions of the chemical space to test hypotheses H1 (FMO matching) and H5 (Lewis acid catalysis) effectively. As the campaign progresses and we accumulate data (~20 observations), beta can be reduced to shift toward exploitation. LogEI would be too greedy at this stage with no prior observations. [KB:af_selector, HYPOTHESIS:H1, HYPOTHESIS:H5]","Matérn-5/2 is the safe default kernel for Bayesian optimization with moderate smoothness assumptions. For this DAR yield optimization with 51-dimensional physicochemical embeddings, it provides a good balance between flexibility and stability in low-data regimes. The DAR reaction surface is expected to be moderately smooth (yield varies continuously with electronic and steric descriptors), making Matern-5/2 more appropriate than the rougher Matern-3/2 or the overly smooth RBF. The spectral mixture kernel (SMKBO) would require more data to fit reliably, and the mixed-space kernels are unnecessary since all variables are categorical and encoded via physicochemical descriptors. [KB:surrogate_model_selector, RULE:R2]"
8,physicochemical_descriptors,2,af_review,7,8,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C.[K+], ligand_SMILES=CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",0,"Upper Confidence Bound (UCB) with β=2.0 is selected to prioritize exploration in this early campaign phase (0/40 observations). The DAR reaction space has 26 total categories across 5 categorical variables, creating a combinatorial search space where aggressive early exploration is essential to avoid local optima. UCB provides explicit control over the exploration-exploitation trade-off through the beta parameter. Starting with β=2.0 (approximately 95% confidence interval) ensures we explore diverse regions of the chemical space to test hypotheses H1 (FMO matching) and H5 (Lewis acid catalysis) effectively. As the campaign progresses and we accumulate data (~20 observations), beta can be reduced to shift toward exploitation. LogEI would be too greedy at this stage with no prior observations. [KB:af_selector, HYPOTHESIS:H1, HYPOTHESIS:H5]","Matérn-5/2 is the safe default kernel for Bayesian optimization with moderate smoothness assumptions. For this DAR yield optimization with 51-dimensional physicochemical embeddings, it provides a good balance between flexibility and stability in low-data regimes. The DAR reaction surface is expected to be moderately smooth (yield varies continuously with electronic and steric descriptors), making Matern-5/2 more appropriate than the rougher Matern-3/2 or the overly smooth RBF. The spectral mixture kernel (SMKBO) would require more data to fit reliably, and the mixed-space kernels are unnecessary since all variables are categorical and encoded via physicochemical descriptors. [KB:surrogate_model_selector, RULE:R2]"
9,physicochemical_descriptors,2,af_review,8,9,gp,matern52,ts,gp/matern52/ts,"{base_SMILES=O=C([O-])C.[Cs+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CC(N(C)C)=O, concentration=0.1, temperature=105}",87.83,"Upper Confidence Bound (UCB) with β=2.0 is selected to prioritize exploration in this early campaign phase (0/40 observations). The DAR reaction space has 26 total categories across 5 categorical variables, creating a combinatorial search space where aggressive early exploration is essential to avoid local optima. UCB provides explicit control over the exploration-exploitation trade-off through the beta parameter. Starting with β=2.0 (approximately 95% confidence interval) ensures we explore diverse regions of the chemical space to test hypotheses H1 (FMO matching) and H5 (Lewis acid catalysis) effectively. As the campaign progresses and we accumulate data (~20 observations), beta can be reduced to shift toward exploitation. LogEI would be too greedy at this stage with no prior observations. [KB:af_selector, HYPOTHESIS:H1, HYPOTHESIS:H5]","Matérn-5/2 is the safe default kernel for Bayesian optimization with moderate smoothness assumptions. For this DAR yield optimization with 51-dimensional physicochemical embeddings, it provides a good balance between flexibility and stability in low-data regimes. The DAR reaction surface is expected to be moderately smooth (yield varies continuously with electronic and steric descriptors), making Matern-5/2 more appropriate than the rougher Matern-3/2 or the overly smooth RBF. The spectral mixture kernel (SMKBO) would require more data to fit reliably, and the mixed-space kernels are unnecessary since all variables are categorical and encoded via physicochemical descriptors. [KB:surrogate_model_selector, RULE:R2]"
10,physicochemical_descriptors,2,af_review,9,10,gp,matern52,log_ei,gp/matern52/log_ei,"{base_SMILES=O=C([O-])C(C)(C)C.[Cs+], ligand_SMILES=CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C, solvent_SMILES=CCCC#N, concentration=0.1, temperature=105}",68.53,"Upper Confidence Bound (UCB) with β=2.0 is selected to prioritize exploration in this early campaign phase (0/40 observations). The DAR reaction space has 26 total categories across 5 categorical variables, creating a combinatorial search space where aggressive early exploration is essential to avoid local optima. UCB provides explicit control over the exploration-exploitation trade-off through the beta parameter. Starting with β=2.0 (approximately 95% confidence interval) ensures we explore diverse regions of the chemical space to test hypotheses H1 (FMO matching) and H5 (Lewis acid catalysis) effectively. As the campaign progresses and we accumulate data (~20 observations), beta can be reduced to shift toward exploitation. LogEI would be too greedy at this stage with no prior observations. [KB:af_selector, HYPOTHESIS:H1, HYPOTHESIS:H5]","Matérn-5/2 is the safe default kernel for Bayesian optimization with moderate smoothness assumptions. For this DAR yield optimization with 51-dimensional physicochemical embeddings, it provides a good balance between flexibility and stability in low-data regimes. The DAR reaction surface is expected to be moderately smooth (yield varies continuously with electronic and steric descriptors), making Matern-5/2 more appropriate than the rougher Matern-3/2 or the overly smooth RBF. The spectral mixture kernel (SMKBO) would require more data to fit reliably, and the mixed-space kernels are unnecessary since all variables are categorical and encoded via physicochemical descriptors. [KB:surrogate_model_selector, RULE:R2]"
